#MASS_MEV  DEG  DEGEFF  MU  BF  ANTI  KEY                  NAME                 PDGCODES...
#--------  ---  ------  --  --  ----  ---                  ----                 -----------
   134.98    1       0   0   2     0  PI0                  pi0                  111
   139.57    1       0   0   2     0  PI                   pi                   211
   139.57    1       0   0   2     1  PIBAR                pibar                -211
   493.68    1       0   0   2     0  K                    K                    321
   493.68    1       0   0   2     1  KBAR                 Kbar                 -321
   497.61    1       0   0   2     0  K0                   K0                   311
   497.61    1       0   0   2     1  KBAR                 Kbar                 -311
   547.85    1       0   0   2     0  ETA                  eta                  221
   550.00    1       0   0   2     0  F0_500               f_0(500)             9000221
   579.33    1       0   0   2     0  UD0                  ud_0                 2101
   579.33    1       0   0   2     1  UD0BAR               ud_0bar              -2101
   771.33    3       0   0   2     0  DD1                  dd_1                 1103
   771.33    3       0   0   2     0  UD1                  ud_1                 2103
   771.33    3       0   0   2     0  UU1                  uu_1                 2203
   771.33    3       0   0   2     1  DD1BAR               dd_1bar              -1103
   771.33    3       0   0   2     1  UD1BAR               ud_1bar              -2103
   771.33    3       0   0   2     1  UU1BAR               uu_1bar              -2203
   775.49    3       0   0   2     0  RHO                  rho                  213
   775.49    3       0   0   2     0  RHO0                 rho0                 113
   775.49    3       0   0   2     1  RHOBAR               rhobar               -213
   782.65    3       0   0   2     0  OMEGA                omega                223
   804.73    1       0   0   2     0  SD0                  sd_0                 3101
   804.73    1       0   0   2     0  SU0                  su_0                 3201
   804.73    1       0   0   2     1  SD0BAR               sd_0bar              -3101
   804.73    1       0   0   2     1  SU0BAR               su_0bar              -3201
   891.66    3       0   0   2     0  KSTAR                K*                   323
   891.66    3       0   0   2     1  KSTARBAR             K*bar                -323
   895.94    3       0   0   2     0  KSTAR                K*                   313
   895.94    3       0   0   2     1  KSTARBAR             K*bar                -313
   929.53    3       0   0   2     0  SD1                  sd_1                 3103
   929.53    3       0   0   2     0  SU1                  su_1                 3203
   929.53    3       0   0   2     1  SD1BAR               sd_1bar              -3103
   929.53    3       0   0   2     1  SU1BAR               su_1bar              -3203
   938.27    2       0   0   1     0  P                    p                    2212
   938.27    2       0   0   1     1  PBAR                 pbar                 -2212
   939.57    2       0   0   1     0  N0                   n0                   2112
   939.57    2       0   0   1     1  NBAR                 nbar                 -2112
   957.78    1       0   0   2     0  ETAP                 eta'                 331
   983.50    1       0   0   2     0  A0_980               a_0(980)             9000111
   983.50    1       0   0   2     0  A0_980               a_0(980)             9000211
   983.50    1       0   0   2     1  A0BAR_980            a_0(980)bar          -9000211
  1000.00    1       0   0   2     0  F0_980               f_0(980)             9010221
  1019.46    3       0   0   2     0  PHI                  phi                  333
  1093.61    3       0   0   2     0  SS1                  ss_1                 3303
  1093.61    3       0   0   2     1  SS1BAR               ss_1bar              -3303
  1115.68    2       0   0   1     0  LAMBDA0              Lambda0              3122
  1115.68    2       0   0   1     1  LAMBDABAR            Lambdabar            -3122
  1170.00    3       0   0   2     0  H1_1170              h_1(1170)            10223
  1189.37    2       0   0   1     0  SIGMA                Sigma                3222
  1189.37    2       0   0   1     1  SIGMABAR             Sigmabar             -3222
  1192.64    2       0   0   1     0  SIGMA0               Sigma0               3212
  1192.64    2       0   0   1     1  SIGMABAR             Sigmabar             -3212
  1197.45    2       0   0   1     0  SIGMA                Sigma                3112
  1197.45    2       0   0   1     1  SIGMABAR             Sigmabar             -3112
  1229.50    3       0   0   2     0  B1_1235              b_1(1235)            10113
  1229.50    3       0   0   2     0  B1_1235              b_1(1235)            10213
  1229.50    3       0   0   2     1  B1BAR_1235           b_1(1235)bar         -10213
  1230.00    3       0   0   2     0  A1_1260              a_1(1260)            20113
  1230.00    3       0   0   2     0  A1_1260              a_1(1260)            20213
  1230.00    3       0   0   2     1  A1BAR_1260           a_1(1260)bar         -20213
  1232.00    4       0   0   1     0  DELTA                Delta                1114
  1232.00    4       0   0   1     0  DELTA                Delta                2214
  1232.00    4       0   0   1     0  DELTA                Delta++              2224
  1232.00    4       0   0   1     0  DELTA0               Delta0               2114
  1232.00    4       0   0   1     1  DELTABAR             Deltabar             -1114
  1232.00    4       0   0   1     1  DELTABAR             Deltabar             -2114
  1232.00    4       0   0   1     1  DELTABAR             Deltabar             -2214
  1232.00    4       0   0   1     1  DELTABAR_BAR         Deltabar--bar        -2224
  1272.00    3       0   0   2     0  K1_1270              K_1(1270)            10313
  1272.00    3       0   0   2     0  K1_1270              K_1(1270)            10323
  1272.00    3       0   0   2     1  K1BAR_1270           K_1(1270)bar         -10313
  1272.00    3       0   0   2     1  K1BAR_1270           K_1(1270)bar         -10323
  1275.10    5       0   0   2     0  F2                   f_2                  225
  1282.10    3       0   0   2     0  F1_1285              f_1(1285)            20223
  1294.00    1       0   0   2     0  ETA_1295             eta(1295)            100221
  1300.00    1       0   0   2     0  PI_1300              pi(1300)             100111
  1300.00    1       0   0   2     0  PI_1300              pi(1300)             100211
  1300.00    1       0   0   2     1  PIBAR_1300           pi(1300)bar          -100211
  1314.86    2       0   0   1     0  XI0                  Xi0                  3322
  1314.86    2       0   0   1     1  XIBAR                Xibar                -3322
  1318.30    5       0   0   2     0  A2                   a_2                  215
  1318.30    5       0   0   2     0  A20                  a_20                 115
  1318.30    5       0   0   2     1  A2BAR                a_2bar               -215
  1321.71    2       0   0   1     0  XI                   Xi                   3312
  1321.71    2       0   0   1     1  XIBAR                Xibar                -3312
  1350.00    1       0   0   2     0  F0_1370              f_0(1370)            10221
  1382.80    4       0   0   1     0  SIGMASTAR            Sigma*               3224
  1382.80    4       0   0   1     1  SIGMASTARBAR         Sigma*bar            -3224
  1383.70    4       0   0   1     0  SIGMASTAR            Sigma*               3214
  1383.70    4       0   0   1     1  SIGMASTARBAR         Sigma*bar            -3214
  1386.00    3       0   0   2     0  H1_1380              h_1(1380)            10333
  1387.20    4       0   0   1     0  SIGMASTAR            Sigma*               3114
  1387.20    4       0   0   1     1  SIGMASTARBAR         Sigma*bar            -3114
  1403.00    3       0   0   2     0  K1_1400              K_1(1400)            20313
  1403.00    3       0   0   2     0  K1_1400              K_1(1400)            20323
  1403.00    3       0   0   2     1  K1BAR_1400           K_1(1400)bar         -20313
  1403.00    3       0   0   2     1  K1BAR_1400           K_1(1400)bar         -20323
  1405.10    2       0   0   1     0  LAMBDA_1405          Lambda(1405)         13122
  1405.10    2       0   0   1     1  LAMBDABAR_1405       Lambda(1405)bar      -13122
  1419.00    3       0   0   2     0  OMEGA_1420           omega(1420)          100223
  1425.60    5       0   0   2     0  KSTAR2_1430          K*_2(1430)           325
  1425.60    5       0   0   2     1  KSTAR2BAR_1430       K*_2(1430)bar        -325
  1426.40    3       0   0   2     0  F1_1420              f_1(1420)            20333
  1430.00    1       0   0   2     0  KSTAR0_1430          K*_0(1430)           10311
  1430.00    1       0   0   2     0  KSTAR0_1430          K*_0(1430)           10321
  1430.00    1       0   0   2     1  KSTAR0BAR_1430       K*_0(1430)bar        -10311
  1430.00    1       0   0   2     1  KSTAR0BAR_1430       K*_0(1430)bar        -10321
  1432.40    5       0   0   2     0  KSTAR2_1430          K*_2(1430)           315
  1432.40    5       0   0   2     1  KSTAR2BAR_1430       K*_2(1430)bar        -315
  1462.00    2       0   0   1     0  N_1440               N(1440)              12112
  1462.00    2       0   0   1     0  N_1440               N(1440)              12212
  1462.00    2       0   0   1     1  NBAR_1440            N(1440)bar           -12112
  1462.00    2       0   0   1     1  NBAR_1440            N(1440)bar           -12212
  1465.00    3       0   0   2     0  RHO_1450             rho(1450)            100113
  1465.00    3       0   0   2     0  RHO_1450             rho(1450)            100213
  1465.00    3       0   0   2     1  RHOBAR_1450          rho(1450)bar         -100213
  1474.00    1       0   0   2     0  A0_1450              a_0(1450)            10111
  1474.00    1       0   0   2     0  A0_1450              a_0(1450)            10211
  1474.00    1       0   0   2     1  A0BAR_1450           a_0(1450)bar         -10211
  1512.00    3       0   0   2     0  F1_1510              f_1(1510)            9000223
  1515.00    4       0   0   1     0  N_1520               N(1520)              1214
  1515.00    4       0   0   1     0  N_1520               N(1520)              2124
  1515.00    4       0   0   1     1  NBAR_1520            N(1520)bar           -1214
  1515.00    4       0   0   1     1  NBAR_1520            N(1520)bar           -2124
  1519.50    4       0   0   1     0  LAMBDA_1520          Lambda(1520)         3124
  1519.50    4       0   0   1     1  LAMBDABAR_1520       Lambda(1520)bar      -3124
  1525.00    5       0   0   2     0  F2P_1525             f'_2(1525)           335
  1531.80    4       0   0   1     0  XISTAR               Xi*                  3324
  1531.80    4       0   0   1     1  XISTARBAR            Xi*bar               -3324
  1535.00    2       0   0   1     0  N_1535               N(1535)              22112
  1535.00    2       0   0   1     0  N_1535               N(1535)              22212
  1535.00    2       0   0   1     1  NBAR_1535            N(1535)bar           -22112
  1535.00    2       0   0   1     1  NBAR_1535            N(1535)bar           -22212
  1535.00    4       0   0   1     0  XISTAR               Xi*                  3314
  1535.00    4       0   0   1     1  XISTARBAR            Xi*bar               -3314
  1600.00    2       0   0   1     0  LAMBDA_1600          Lambda(1600)         23122
  1600.00    2       0   0   1     1  LAMBDABAR_1600       Lambda(1600)bar      -23122
  1620.00    2       0   0   1     0  D_1620               D(1620)              1112
  1620.00    2       0   0   1     0  D_1620               D(1620)              1212
  1620.00    2       0   0   1     0  D_1620               D(1620)              2122
  1620.00    2       0   0   1     0  D_1620               D(1620)++            2222
  1620.00    2       0   0   1     1  DBAR_1620            D(1620)bar           -1112
  1620.00    2       0   0   1     1  DBAR_1620            D(1620)bar           -1212
  1620.00    2       0   0   1     1  DBAR_1620            D(1620)bar           -2122
  1620.00    2       0   0   1     1  D_1620_BAR_BAR       D(1620)bar--bar      -2222
  1655.00    2       0   0   1     0  N_1650               N(1650)              32112
  1655.00    2       0   0   1     0  N_1650               N(1650)              32212
  1655.00    2       0   0   1     1  NBAR_1650            N(1650)bar           -32112
  1655.00    2       0   0   1     1  NBAR_1650            N(1650)bar           -32212
  1660.00    2       0   0   1     0  SIGMA_1660           Sigma(1660)          13112
  1660.00    2       0   0   1     0  SIGMA_1660           Sigma(1660)          13212
  1660.00    2       0   0   1     0  SIGMA_1660           Sigma(1660)          13222
  1660.00    2       0   0   1     1  SIGMABAR_1660        Sigma(1660)bar       -13112
  1660.00    2       0   0   1     1  SIGMABAR_1660        Sigma(1660)bar       -13212
  1660.00    2       0   0   1     1  SIGMABAR_1660        Sigma(1660)bar       -13222
  1670.00    2       0   0   1     0  LAMBDA_1670          Lambda(1670)         33122
  1670.00    2       0   0   1     1  LAMBDABAR_1670       Lambda(1670)bar      -33122
  1670.00    3       0   0   2     0  OMEGA_1650           omega(1650)          30223
  1670.00    4       0   0   1     0  SIGMA_1670           Sigma(1670)          13114
  1670.00    4       0   0   1     0  SIGMA_1670           Sigma(1670)          13214
  1670.00    4       0   0   1     0  SIGMA_1670           Sigma(1670)          13224
  1670.00    4       0   0   1     1  SIGMABAR_1670        Sigma(1670)bar       -13114
  1670.00    4       0   0   1     1  SIGMABAR_1670        Sigma(1670)bar       -13214
  1670.00    4       0   0   1     1  SIGMABAR_1670        Sigma(1670)bar       -13224
  1670.00    5       0   0   2     0  PI2_1670             pi_2(1670)           10115
  1670.00    5       0   0   2     0  PI2_1670             pi_2(1670)           10215
  1670.00    5       0   0   2     1  PI2BAR_1670          pi_2(1670)bar        -10215
  1672.45    4       0   0   1     0  OMEGA                Omega                3334
  1672.45    4       0   0   1     1  OMEGABAR             Omegabar             -3334
  1675.00    6       0   0   1     0  N_1675               N(1675)              2116
  1675.00    6       0   0   1     0  N_1675               N(1675)              2216
  1675.00    6       0   0   1     1  NBAR_1675            N(1675)bar           -2116
  1675.00    6       0   0   1     1  NBAR_1675            N(1675)bar           -2216
  1680.00    3       0   0   2     0  PHI_1680             phi(1680)            100333
  1685.00    6       0   0   1     0  N_1680               N(1680)              12116
  1685.00    6       0   0   1     0  N_1680               N(1680)              12216
  1685.00    6       0   0   1     1  NBAR_1680            N(1680)bar           -12116
  1685.00    6       0   0   1     1  NBAR_1680            N(1680)bar           -12216
  1690.00    2       0   0   1     0  XI_1690              Xi(1690)             13312
  1690.00    2       0   0   1     0  XI_1690              Xi(1690)             13322
  1690.00    2       0   0   1     1  XIBAR_1690           Xi(1690)bar          -13312
  1690.00    2       0   0   1     1  XIBAR_1690           Xi(1690)bar          -13322
  1690.00    4       0   0   1     0  LAMBDA_1690          Lambda(1690)         13124
  1690.00    4       0   0   1     1  LAMBDABAR_1690       Lambda(1690)bar      -13124
  1700.00    4       0   0   1     0  D_1700               D(1700)              11114
  1700.00    4       0   0   1     0  D_1700               D(1700)              12114
  1700.00    4       0   0   1     0  D_1700               D(1700)              12214
  1700.00    4       0   0   1     0  D_1700               D(1700)++            12224
  1700.00    4       0   0   1     0  N_1700               N(1700)              21214
  1700.00    4       0   0   1     0  N_1700               N(1700)              22124
  1700.00    4       0   0   1     1  DBAR_1700            D(1700)bar           -11114
  1700.00    4       0   0   1     1  DBAR_1700            D(1700)bar           -12114
  1700.00    4       0   0   1     1  DBAR_1700            D(1700)bar           -12214
  1700.00    4       0   0   1     1  D_1700_BAR_BAR       D(1700)bar--bar      -12224
  1700.00    4       0   0   1     1  NBAR_1700            N(1700)bar           -21214
  1700.00    4       0   0   1     1  NBAR_1700            N(1700)bar           -22124
  1706.00    4       0   0   1     0  D_1600               D(1600)              31114
  1706.00    4       0   0   1     0  D_1600               D(1600)              32114
  1706.00    4       0   0   1     0  D_1600               D(1600)              32214
  1706.00    4       0   0   1     0  D_1600               D(1600)++            32224
  1706.00    4       0   0   1     1  DBAR_1600            D(1600)bar           -31114
  1706.00    4       0   0   1     1  DBAR_1600            D(1600)bar           -32114
  1706.00    4       0   0   1     1  DBAR_1600            D(1600)bar           -32214
  1706.00    4       0   0   1     1  D_1600_BAR_BAR       D(1600)bar--bar      -32224
  1710.00    2       0   0   1     0  N_1710               N(1710)              42112
  1710.00    2       0   0   1     0  N_1710               N(1710)              42212
  1710.00    2       0   0   1     1  NBAR_1710            N(1710)bar           -42112
  1710.00    2       0   0   1     1  NBAR_1710            N(1710)bar           -42212
  1717.00    3       0   0   2     0  KSTAR_1680           K*(1680)             30313
  1717.00    3       0   0   2     0  KSTAR_1680           K*(1680)             30323
  1717.00    3       0   0   2     1  KSTARBAR_1680        K*(1680)bar          -30313
  1717.00    3       0   0   2     1  KSTARBAR_1680        K*(1680)bar          -30323
  1720.00    1       0   0   2     0  F0_1710              f_0(1710)            10331
  1720.00    3       0   0   2     0  RHO_1700             rho(1700)            30113
  1720.00    3       0   0   2     0  RHO_1700             rho(1700)            30213
  1720.00    3       0   0   2     1  RHOBAR_1700          rho(1700)bar         -30213
  1720.00    4       0   0   1     0  N_1720               N(1720)              31214
  1720.00    4       0   0   1     0  N_1720               N(1720)              32124
  1720.00    4       0   0   1     1  NBAR_1720            N(1720)bar           -31214
  1720.00    4       0   0   1     1  NBAR_1720            N(1720)bar           -32124
  1750.00    2       0   0   1     0  SIGMA_1750           Sigma(1750)          23112
  1750.00    2       0   0   1     0  SIGMA_1750           Sigma(1750)          23212
  1750.00    2       0   0   1     0  SIGMA_1750           Sigma(1750)          23222
  1750.00    2       0   0   1     1  SIGMABAR_1750        Sigma(1750)bar       -23112
  1750.00    2       0   0   1     1  SIGMABAR_1750        Sigma(1750)bar       -23212
  1750.00    2       0   0   1     1  SIGMABAR_1750        Sigma(1750)bar       -23222
  1773.00    5       0   0   2     0  K2_1770              K_2(1770)            10315
  1773.00    5       0   0   2     0  K2_1770              K_2(1770)            10325
  1773.00    5       0   0   2     1  K2BAR_1770           K_2(1770)bar         -10315
  1773.00    5       0   0   2     1  K2BAR_1770           K_2(1770)bar         -10325
  1775.00    6       0   0   1     0  SIGMA_1775           Sigma(1775)          3116
  1775.00    6       0   0   1     0  SIGMA_1775           Sigma(1775)          3216
  1775.00    6       0   0   1     0  SIGMA_1775           Sigma(1775)          3226
  1775.00    6       0   0   1     1  SIGMABAR_1775        Sigma(1775)bar       -3116
  1775.00    6       0   0   1     1  SIGMABAR_1775        Sigma(1775)bar       -3216
  1775.00    6       0   0   1     1  SIGMABAR_1775        Sigma(1775)bar       -3226
  1776.00    7       0   0   2     0  K3_1780              K_3(1780)            317
  1776.00    7       0   0   2     0  K3_1780              K_3(1780)            327
  1776.00    7       0   0   2     1  K3BAR_1780           K_3(1780)bar         -317
  1776.00    7       0   0   2     1  K3BAR_1780           K_3(1780)bar         -327
  1800.00    2       0   0   1     0  LAMBDA_1800          Lambda(1800)         43122
  1800.00    2       0   0   1     1  LAMBDABAR_1800       Lambda(1800)bar      -43122
  1810.00    2       0   0   1     0  LAMBDA_1810          Lambda(1810)         53122
  1810.00    2       0   0   1     1  LAMBDABAR_1810       Lambda(1810)bar      -53122
  1816.00    5       0   0   2     0  K2_1820              K_2(1820)            20315
  1816.00    5       0   0   2     0  K2_1820              K_2(1820)            20325
  1816.00    5       0   0   2     1  K2BAR_1820           K_2(1820)bar         -20315
